MATCH_ID,SEASON,CITY,DATE,TEAM1,TEAM2,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER
597,2016,Chandigarh,25/04/16,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,Mumbai Indians
598,2016,Hyderabad,26/04/16,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,Rising Pune Supergiants
599,2016,Delhi,27/04/16,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,Gujarat Lions
600,2016,Mumbai,28/04/16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians
601,2016,Pune,29/04/16,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions
602,2016,Delhi,30/04/16,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Delhi Daredevils
603,2016,Hyderabad,30/04/16,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Sunrisers Hyderabad
604,2016,Rajkot,01/05/16,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,Kings XI Punjab
605,2016,Pune,01/05/16,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians
606,2016,Bangalore,02/05/16,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders
607,2016,Rajkot,03/05/16,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils
608,2016,Kolkata,04/05/16,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,Kolkata Knight Riders
609,2016,Delhi,05/05/16,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,Rising Pune Supergiants
610,2016,Hyderabad,06/05/16,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad
611,2016,Bangalore,07/05/16,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore
612,2016,Chandigarh,07/05/16,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Kings XI Punjab
613,2016,Visakhapatnam,08/05/16,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,Sunrisers Hyderabad
614,2016,Kolkata,08/05/16,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions
615,2016,Chandigarh,09/05/16,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Royal Challengers Bangalore
616,2016,Visakhapatnam,10/05/16,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad
617,2016,Bangalore,11/05/16,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians
618,2016,Hyderabad,12/05/16,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils
619,2016,Visakhapatnam,13/05/16,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,Kings XI Punjab
620,2016,Bangalore,14/05/16,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,Royal Challengers Bangalore
621,2016,Kolkata,14/05/16,Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,bat,normal,Kolkata Knight Riders
622,2016,Chandigarh,15/05/16,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,Sunrisers Hyderabad
623,2016,Visakhapatnam,15/05/16,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians
624,2016,Kolkata,16/05/16,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore
